"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | Automobiles | Motorcycles | All Makes | BMW | Chevrolet | Ford | Honda | Porsche | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD37A7046"
"ColumnCount:",16
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, BMW, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Porsche, All Models, All Vehicle Years, #","Automobiles, All Makes, All Models, All Vehicle Years, #","Automobiles, BMW, All Models, All Vehicle Years, #","Automobiles, Chevrolet, All Models, All Vehicle Years, #","Automobiles, Ford, All Models, All Vehicle Years, #","Automobiles, Honda, All Models, All Vehicle Years, #","Automobiles, Porsche, All Models, All Vehicle Years, #","Motorcycles, All Makes, All Models, All Vehicle Years, #","Motorcycles, BMW, All Models, All Vehicle Years, #","Motorcycles, Honda, All Models, All Vehicle Years, #"
"01/1975",7606,,1758,1624,48,10,7446,,1734,1598,48,10,,,
"02/1975",7018,,1632,1396,68,12,6920,,1622,1392,64,12,,,
"03/1975",8156,,1876,1722,72,16,8002,,1856,1694,68,16,,,
"04/1975",8144,,1832,1604,104,22,7952,,1810,1578,104,22,,,
"05/1975",9964,,2196,1936,176,16,9682,,2162,1886,172,16,,,
"06/1975",10114,,2278,1860,206,10,9830,,2246,1824,204,10,,,
"07/1975",10462,,2358,2014,212,16,10188,,2342,1980,210,16,,,
"08/1975",10742,,2420,2044,176,28,10450,,2384,2002,166,26,,,
"09/1975",9750,,2226,1964,198,4,9490,,2174,1912,198,4,,,
"10/1975",9916,,2248,1998,148,10,9614,,2190,1954,146,10,,,
"11/1975",9722,,2378,2034,132,20,9470,,2336,1976,128,20,,,
"12/1975",9468,,2316,1954,80,14,9264,,2280,1914,80,14,,,
"01/1976",7498,,1720,1528,46,10,7342,,1704,1488,46,10,,,
"02/1976",7402,,1788,1618,74,16,7248,,1762,1594,74,16,,,
"03/1976",7868,,1776,1578,108,14,7698,,1758,1554,106,14,,,
"04/1976",8682,,2078,1692,112,12,8464,,2026,1670,112,12,,,
"05/1976",10150,,2260,2002,210,10,9930,,2228,1962,206,10,,,
"06/1976",9750,,2100,1910,150,18,9494,,2082,1856,144,18,,,
"07/1976",11222,,2444,2188,230,8,10956,,2414,2158,228,8,,,
"08/1976",10714,,2312,2148,248,16,10506,,2296,2114,246,16,,,
"09/1976",9900,,2228,1974,190,8,9736,,2210,1944,188,8,,,
"10/1976",10506,,2378,2034,146,18,10282,,2352,1986,144,18,,,
"11/1976",8676,,2114,1860,122,12,8512,,2092,1840,122,12,,,
"12/1976",9800,,2346,1960,114,12,9668,,2324,1936,114,12,,,
"01/1977",7026,4,1542,1448,104,12,6916,,1526,1438,104,12,,,
"02/1977",7342,4,1638,1552,96,14,7202,4,1618,1538,96,14,,,
"03/1977",8820,20,1928,1916,188,22,8658,20,1894,1890,188,20,,,
"04/1977",9358,14,2134,1856,268,12,9216,14,2114,1834,268,12,,,
"05/1977",10172,26,2326,1978,378,18,10022,26,2308,1946,378,18,,,
"06/1977",10940,14,2404,2034,392,14,10702,14,2378,1992,392,14,,,
"07/1977",12304,18,2670,2320,602,20,12008,18,2620,2280,602,20,,,
"08/1977",11718,34,2622,2258,416,18,11528,34,2598,2224,416,18,,,
"09/1977",10670,24,2310,2018,346,8,10430,24,2278,1972,346,8,,,
"10/1977",11464,34,2594,2320,294,18,11248,32,2570,2296,294,18,,,
"11/1977",10518,18,2364,2246,196,16,10346,18,2344,2200,196,16,,,
"12/1977",10698,16,2502,2182,130,18,10556,14,2480,2156,130,18,,,
"01/1978",7140,12,1638,1446,94,8,7010,12,1620,1438,94,8,,,
"02/1978",6914,8,1480,1460,116,12,6748,8,1466,1450,116,12,,,
"03/1978",9068,12,2034,1790,158,12,8936,12,2030,1774,158,12,,,
"04/1978",9946,16,2280,2006,312,22,9788,16,2272,1982,312,22,,,
"05/1978",11122,18,2402,1952,456,16,10908,18,2396,1928,456,16,,,
"06/1978",11918,18,2490,2246,510,22,11664,18,2474,2216,510,22,,,
"07/1978",12576,16,2670,2276,566,34,12250,16,2652,2230,562,34,,,
"08/1978",12632,24,2794,2290,548,26,12404,24,2782,2268,548,26,,,
"09/1978",12204,20,2790,2358,458,22,11972,20,2770,2328,458,22,,,
"10/1978",12038,32,2754,2424,310,20,11788,32,2730,2392,310,20,,,
"11/1978",11308,18,2576,2304,228,34,11140,18,2560,2296,226,34,,,
"12/1978",11422,16,2658,2324,202,18,11214,16,2646,2308,202,18,,,
"01/1979",8192,8,1778,1590,122,20,8080,8,1774,1582,122,20,,,
